Model,Scenario,Region,Variable,Unit,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150,2160,2170,2180,2190,2200,2210,2220,2230,2240,2250,2260,2270,2280,2290,2300
COFFEE 1.1,Neg,World,Kyoto GHG total (AR5GWP100),Mt CO2-equiv/yr,54058.60316892331,54068.907059627694,39219.652022813985,29817.03183489195,19926.368762946197,8113.609293815923,964.92454717548,-924.8546277506024,-6009.189182969285,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395,-6050.8061467443395
COFFEE 1.1,Neg nz 2100 decline -17000,World,Kyoto GHG total (AR5GWP100),Mt CO2-equiv/yr,54058.60316892331,54068.907059627694,39219.652022813985,29817.03183489195,19926.368762946197,8113.609293815923,964.92454717548,-924.8546277506024,-6009.189182969285,-6050.8061467443395,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338,-9938.454002744338
COFFEE 1.1,Neg_NZGHG,World,Kyoto GHG total (AR5GWP100),Mt CO2-equiv/yr,54058.60316892331,54068.907059627694,39219.652022813985,29817.03183489195,19926.368762946197,8113.609293815923,964.92454717548,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674,20.034959712438674
GCAM 5.3,CurPol,World,Kyoto GHG total (AR5GWP100),Mt CO2-equiv/yr,54058.60316892331,56153.96339140374,60659.58460709273,63358.89109625879,64246.899916637085,66673.25681493922,68169.45618371699,69162.16442200374,68587.72718706445,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443,67349.83481793443
GCAM 5.3,CurPol nz 2120 decline -23800,World,Kyoto GHG total (AR5GWP100),Mt CO2-equiv/yr,54058.60316892331,56153.96339140374,60659.58460709273,63358.89109625879,64246.899916637085,66673.25681493922,68169.45618371699,69162.16442200374,68587.72718706445,67349.83481793443,37205.690407595044,7061.545997255661,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336,-16738.454002744336
IMAGE,ssp119,World,Kyoto GHG total (AR5GWP100),Mt CO2-equiv/yr,54058.60316892331,54044.45394231456,32530.26054271667,18590.43550935423,9256.978905149585,5306.245152340205,2075.965977807455,-1141.150505878818,-4663.972508719987,-8202.516335123333,-7836.301136498333,-7470.085939408334,-7103.870740818334,-6737.655542008334,-4069.769550578334,-1878.170273528333,313.4290048016666,2505.0282815866667,4696.627558916666,4586.556042246667,4476.484525296667,4366.413008626667,4256.341491676667,4146.269975006667,4036.198457791667,4036.198457791667,4036.198457791667,4036.198457791667,4036.198457791667,4036.198457791667
IMAGE 3.0,ModAct,World,Kyoto GHG total (AR5GWP100),Mt CO2-equiv/yr,54058.60316892331,58026.97839968195,53253.50195598092,53939.12554439746,55740.93139233322,55378.58821494321,51970.140159927774,41271.97975389417,31797.47914776696,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355,30830.00876540355
IMAGE 3.0,ModAct nz 2120 decline -16500,World,Kyoto GHG total (AR5GWP100),Mt CO2-equiv/yr,54058.60316892331,58026.97839968195,53253.50195598092,53939.12554439746,55740.93139233322,55378.58821494321,51970.140159927774,41271.97975389417,31797.47914776696,30830.00876540355,18945.777381329604,7061.545997255661,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338,-9438.454002744338
IMAGE 3.0,ModAct nz 2120 decline -23000,World,Kyoto GHG total (AR5GWP100),Mt CO2-equiv/yr,54058.60316892331,58026.97839968195,53253.50195598092,53939.12554439746,55740.93139233322,55378.58821494321,51970.140159927774,41271.97975389417,31797.47914776696,30830.00876540355,18945.777381329604,7061.545997255661,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336,-15938.454002744336
