"","scenario","quantile","coupling_strength","Tpeak","count","any_tippings_prob","number_of_tippings_mean","number_of_tippings_sd","number_of_tippings_se","GIS_tip_prob","THC_tip_prob","WAIS_tip_prob","AMAZ_tip_prob","Tconv"
"36","CurPol-OS-1.5C",0.4,0.2,3.13,1000,0.648,1.159,1.08392522523184,0.0342767252504362,0.266,0.296,0.412,0.185,1.3965
"37","CurPol-OS-1.5C",0.4,0.3,3.13,1000,0.655,1.295,1.20392043940803,0.0380713071016011,0.266,0.371,0.451,0.207,1.3965
"38","CurPol-OS-1.5C",0.4,0.4,3.13,1000,0.671,1.347,1.20084679831902,0.0379741100360895,0.235,0.409,0.477,0.226,1.3965
"39","CurPol-OS-1.5C",0.4,0.5,3.13,1000,0.691,1.436,1.21712176276057,0.0384887696008249,0.228,0.447,0.504,0.257,1.3965
"40","CurPol-OS-1.5C",0.4,0.6,3.13,1000,0.704,1.501,1.21716082769718,0.0384900049425884,0.215,0.488,0.518,0.28,1.3965
"41","CurPol-OS-1.5C",0.4,0.7,3.13,1000,0.717,1.575,1.22551086363071,0.0387540562635304,0.211,0.512,0.551,0.301,1.3965
"42","CurPol-OS-1.5C",0.4,0.8,3.13,1000,0.736,1.641,1.20978617225631,0.0382567978610676,0.22,0.531,0.578,0.312,1.3965
"43","CurPol-OS-1.5C",0.4,0.9,3.13,1000,0.757,1.695,1.18464272182729,0.0374616921451551,0.232,0.53,0.61,0.323,1.3965
"44","CurPol-OS-1.5C",0.4,1,3.13,1000,0.772,1.728,1.16248327616674,0.0367609489454144,0.241,0.531,0.635,0.321,1.3965
"45","CurPol-OS-1.5C",0.5,0,3.3,1000,0.691,1.02,0.863913390535386,0.0273193401521037,0.324,0.208,0.272,0.216,1.5033
"46","CurPol-OS-1.5C",0.5,0.1,3.3,1000,0.705,1.153,0.954202023421404,0.0301745174195297,0.309,0.223,0.406,0.215,1.5033
"47","CurPol-OS-1.5C",0.5,0.2,3.3,1000,0.717,1.363,1.12627683075676,0.0356160006106736,0.302,0.34,0.495,0.226,1.5033
"48","CurPol-OS-1.5C",0.5,0.3,3.3,1000,0.728,1.493,1.20971666699869,0.038254599911833,0.296,0.409,0.536,0.252,1.5033
"49","CurPol-OS-1.5C",0.5,0.4,3.3,1000,0.739,1.581,1.23894066604256,0.0391787439050051,0.284,0.465,0.556,0.276,1.5033
"50","CurPol-OS-1.5C",0.5,0.5,3.3,1000,0.754,1.66,1.23852086536075,0.039165468641827,0.268,0.515,0.573,0.304,1.5033
"51","CurPol-OS-1.5C",0.5,0.6,3.3,1000,0.771,1.744,1.21735202219652,0.0384960510435284,0.248,0.555,0.608,0.333,1.5033
"52","CurPol-OS-1.5C",0.5,0.7,3.3,1000,0.785,1.794,1.19707852582736,0.0378549467969115,0.24,0.581,0.628,0.345,1.5033
"53","CurPol-OS-1.5C",0.5,0.8,3.3,1000,0.8,1.839,1.17578121326268,0.0371814666394625,0.244,0.585,0.658,0.352,1.5033
"54","CurPol-OS-1.5C",0.5,0.9,3.3,1000,0.812,1.869,1.1459285109256,0.0362374413025003,0.25,0.587,0.677,0.355,1.5033
"55","CurPol-OS-1.5C",0.5,1,3.3,1000,0.83,1.913,1.11744336754919,0.0353366619770413,0.263,0.593,0.699,0.358,1.5033
"56","CurPol-OS-1.5C",0.6,0,3.46,1000,0.76,1.18,0.886784295297558,0.0280425816640763,0.374,0.232,0.322,0.252,1.62246
